hidden_layers,lr,batch_size,val_split,activation,epochs,dataset,mse,r2
"[320, 320]",0.1,64,0.1,relu,400,Reacher3,0.0010448714410676012,0.5329478808228258
"[320, 320]",0.1,64,0.1,tanh,400,Reacher3,0.0020370844984689655,0.0855769316034437
"[320, 320]",0.1,64,0.05,relu,400,Reacher3,0.0011705064068851777,0.4767844192651481
"[320, 320]",0.1,64,0.05,tanh,400,Reacher3,0.0023009905811404185,-0.03607916191294728
"[320, 320]",0.1,128,0.8,relu,400,Reacher3,0.0011018492399298924,0.5070876796977424
"[320, 320]",0.1,128,0.8,tanh,400,Reacher3,0.0019181938054642813,0.14096661350021666
"[320, 320]",0.1,128,0.5,relu,400,Reacher3,0.0010889528187676264,0.5128656273944393
"[320, 320]",0.1,128,0.5,tanh,400,Reacher3,0.001963187174709282,0.11788103769361935
"[320, 320]",0.1,128,0.2,relu,400,Reacher3,0.0010851016779911736,0.5146640293528102
"[320, 320]",0.1,128,0.2,tanh,400,Reacher3,0.0018018157696832009,0.19263150569965637
"[320, 320]",0.1,128,0.1,relu,400,Reacher3,0.0010176865361085773,0.545584617034783
"[320, 320]",0.1,128,0.1,tanh,400,Reacher3,0.001916755476272838,0.14057839332119282
"[320, 320]",0.1,128,0.05,relu,400,Reacher3,0.0011399399872572098,0.49088112454239924
"[320, 320]",0.1,128,0.05,tanh,400,Reacher3,0.0020079253924392406,0.1012216145405519
"[320, 320]",0.01,16,0.8,relu,400,Reacher3,0.0010153047656234755,0.54585067861669
"[320, 320]",0.01,16,0.8,tanh,400,Reacher3,0.0014912097002632281,0.331938669614481
"[320, 320]",0.01,16,0.5,relu,400,Reacher3,0.0008153924659253394,0.6350436470557123
"[320, 320]",0.01,16,0.5,tanh,400,Reacher3,0.0015534692947228397,0.30508032123139583
"[320, 320]",0.01,16,0.2,relu,400,Reacher3,0.0007521865711622201,0.6637582616628553
"[320, 320]",0.01,16,0.2,tanh,400,Reacher3,0.001443042992987505,0.3550521454191123
"[320, 320]",0.01,16,0.1,relu,400,Reacher3,0.0007345160688202695,0.6713850145649776
"[320, 320]",0.01,16,0.1,tanh,400,Reacher3,0.0014004248815300963,0.3729360315639075
"[320, 320]",0.01,16,0.05,relu,400,Reacher3,0.0007610568003575341,0.659771268025655
"[320, 320]",0.01,16,0.05,tanh,400,Reacher3,0.0014216379261461907,0.3642205470988142
"[320, 320]",0.01,32,0.8,relu,400,Reacher3,0.0010125341874062663,0.5467852355192293
"[320, 320]",0.01,32,0.8,tanh,400,Reacher3,0.0012325707849683318,0.4488249586831616
"[320, 320]",0.01,32,0.5,relu,400,Reacher3,0.0007556497980438286,0.6623030226656795
"[320, 320]",0.01,32,0.5,tanh,400,Reacher3,0.0011130894852636076,0.5019127373315134
"[320, 320]",0.01,32,0.2,relu,400,Reacher3,0.0007327773353657612,0.6722407300637606
"[320, 320]",0.01,32,0.2,tanh,400,Reacher3,0.001005782578131406,0.5498144707312673
"[320, 320]",0.01,32,0.1,relu,400,Reacher3,0.0007282656058249427,0.6745395491121231
"[320, 320]",0.01,32,0.1,tanh,400,Reacher3,0.0010504417712799256,0.529723804913918
"[320, 320]",0.01,32,0.05,relu,400,Reacher3,0.0007276785420624543,0.674953127998171
"[320, 320]",0.01,32,0.05,tanh,400,Reacher3,0.0010749692733403142,0.5192934723891315
"[320, 320]",0.01,64,0.8,relu,400,Reacher3,0.0010100739365056218,0.5476345907796941
"[320, 320]",0.01,64,0.8,tanh,400,Reacher3,0.0012249115512797124,0.4520863022933143
"[320, 320]",0.01,64,0.5,relu,400,Reacher3,0.0007450536508053483,0.6669351737877095
"[320, 320]",0.01,64,0.5,tanh,400,Reacher3,0.0010219498619789145,0.5425019534712278
"[320, 320]",0.01,64,0.2,relu,400,Reacher3,0.0007059720531921,0.6847349953429367
"[320, 320]",0.01,64,0.2,tanh,400,Reacher3,0.000968878463650155,0.566787803413765
"[320, 320]",0.01,64,0.1,relu,400,Reacher3,0.0006875203058349632,0.6928212471252039
"[320, 320]",0.01,64,0.1,tanh,400,Reacher3,0.0009766768075146733,0.5632619342669444
"[320, 320]",0.01,64,0.05,relu,400,Reacher3,0.0007035571329373743,0.6857408569482063
"[320, 320]",0.01,64,0.05,tanh,400,Reacher3,0.0009682154563593954,0.5670330566782833
"[320, 320]",0.01,128,0.8,relu,400,Reacher3,0.0009515527070584913,0.5745142554644751
"[320, 320]",0.01,128,0.8,tanh,400,Reacher3,0.0012543951080238311,0.4387936123371827
"[320, 320]",0.01,128,0.5,relu,400,Reacher3,0.0007369932867937239,0.6705710546822994
"[320, 320]",0.01,128,0.5,tanh,400,Reacher3,0.0009858782852594388,0.5590834196898978
"[320, 320]",0.01,128,0.2,relu,400,Reacher3,0.0007115738424443484,0.6817113975577341
"[320, 320]",0.01,128,0.2,tanh,400,Reacher3,0.0009014445924461008,0.5968819771344539
"[320, 320]",0.01,128,0.1,relu,400,Reacher3,0.0006601769477653248,0.7051452890301594
"[320, 320]",0.01,128,0.1,tanh,400,Reacher3,0.0009211917610843397,0.5882251987451784
"[320, 320]",0.01,128,0.05,relu,400,Reacher3,0.0007077906978927113,0.6835015644530961
"[320, 320]",0.01,128,0.05,tanh,400,Reacher3,0.000949387928900995,0.5753474761707132
