"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","dataset","epochs","hidden_layers","lr","val_split","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_loss"
"Reacher6_arch6_lr0.0001_batch16_valS0.05_relu","finished","-","","","2025-12-08T18:49:58.000Z","555","","relu","16","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.05","86","0.00009999999747378752","0.4816213250160218","0.5809819102287292"
"Reacher6_arch6_lr0.0001_batch16_valS0.1_tanh","finished","-","","","2025-12-08T18:36:36.000Z","801","","tanh","16","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.1","124","0.00009999999747378752","0.49549147486686707","0.591145396232605"
"Reacher6_arch6_lr0.0001_batch16_valS0.1_relu","finished","-","","","2025-12-08T18:27:12.000Z","563","","relu","16","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.1","87","0.00009999999747378752","0.478368878364563","0.6002940535545349"
"Reacher6_arch6_lr0.0001_batch16_valS0.2_tanh","finished","-","","","2025-12-08T18:12:40.000Z","870","","tanh","16","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.2","140","0.00009999999747378752","0.4899889826774597","0.6085277795791626"
"Reacher6_arch6_lr0.0001_batch16_valS0.2_relu","finished","-","","","2025-12-08T18:04:05.000Z","514","","relu","16","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.2","89","0.00009999999747378752","0.4745019376277923","0.6139420866966248"
"Reacher6_arch6_lr0.0001_batch16_valS0.5_tanh","finished","-","","","2025-12-08T17:53:45.000Z","619","","tanh","16","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.5","111","0.00009999999747378752","0.5076659917831421","0.6233065128326416"
"Reacher6_arch6_lr0.0001_batch16_valS0.5_relu","finished","-","","","2025-12-08T17:45:42.000Z","481","","relu","16","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.5","84","0.00009999999747378752","0.4686777591705322","0.6346610188484192"
"Reacher6_arch6_lr0.0001_batch16_valS0.8_tanh","finished","-","","","2025-12-08T17:36:23.000Z","558","","tanh","16","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.8","110","0.00009999999747378752","0.5122851729393005","0.6863887310028076"
"Reacher6_arch6_lr0.0001_batch16_valS0.8_relu","finished","-","","","2025-12-08T17:29:06.000Z","436","","relu","16","Reacher6","400","[107,107,107,107,107,107]","0.0001","0.8","86","0.00009999999747378752","0.4402290284633637","0.7426283955574036"
"Reacher6_arch6_lr0.001_batch128_valS0.05_tanh","finished","-","","","2025-12-08T17:28:06.000Z","59","","tanh","128","Reacher6","400","[107,107,107,107,107,107]","0.001","0.05","71","0.0010000000474974513","0.456356018781662","0.6406683325767517"
"Reacher6_arch6_lr0.001_batch128_valS0.05_relu","finished","-","","","2025-12-08T17:27:04.000Z","61","","relu","128","Reacher6","400","[107,107,107,107,107,107]","0.001","0.05","74","0.0010000000474974513","0.43452075123786926","0.6356813311576843"
"Reacher6_arch6_lr0.001_batch128_valS0.1_tanh","finished","-","","","2025-12-08T17:26:05.000Z","58","","tanh","128","Reacher6","400","[107,107,107,107,107,107]","0.001","0.1","71","0.0010000000474974513","0.4518342912197113","0.6635107398033142"
"Reacher6_arch6_lr0.001_batch128_valS0.1_relu","finished","-","","","2025-12-08T17:25:06.000Z","58","","relu","128","Reacher6","400","[107,107,107,107,107,107]","0.001","0.1","68","0.0010000000474974513","0.4394284784793854","0.6331514120101929"
"Reacher6_arch6_lr0.001_batch128_valS0.2_tanh","finished","-","","","2025-12-08T17:24:06.000Z","59","","tanh","128","Reacher6","400","[107,107,107,107,107,107]","0.001","0.2","73","0.0010000000474974513","0.4363406300544739","0.6784381866455078"
"Reacher6_arch6_lr0.001_batch128_valS0.2_relu","finished","-","","","2025-12-08T17:23:13.000Z","52","","relu","128","Reacher6","400","[107,107,107,107,107,107]","0.001","0.2","65","0.0010000000474974513","0.4300502836704254","0.652158260345459"
"Reacher6_arch6_lr0.001_batch128_valS0.5_tanh","finished","-","","","2025-12-08T17:22:19.000Z","53","","tanh","128","Reacher6","400","[107,107,107,107,107,107]","0.001","0.5","69","0.0010000000474974513","0.4215245842933655","0.7103780508041382"
