hidden_layers,lr,batch_size,val_split,activation,epochs,dataset,mse,r2
"[107, 107, 107, 107, 107, 107]",0.1,16,0.1,relu,400,Reacher6,0.0041852622156001084,-0.001142937873024071
"[107, 107, 107, 107, 107, 107]",0.1,16,0.1,tanh,400,Reacher6,0.005690226910464503,-0.35995066190035613
"[107, 107, 107, 107, 107, 107]",0.1,16,0.05,relu,400,Reacher6,0.004183767458117106,-0.0007671540105429105
"[107, 107, 107, 107, 107, 107]",0.1,16,0.05,tanh,400,Reacher6,0.006525528477417541,-0.5605736462097397
"[107, 107, 107, 107, 107, 107]",0.1,32,0.8,relu,400,Reacher6,0.004183432127148405,-0.0006764191838205166
"[107, 107, 107, 107, 107, 107]",0.1,32,0.8,tanh,400,Reacher6,0.005224606122157542,-0.25070356275626116
"[107, 107, 107, 107, 107, 107]",0.1,32,0.5,relu,400,Reacher6,0.004182984496280313,-0.0005672997282922809
"[107, 107, 107, 107, 107, 107]",0.1,32,0.5,tanh,400,Reacher6,0.00567329709094552,-0.3612205016775613
"[107, 107, 107, 107, 107, 107]",0.1,32,0.2,relu,400,Reacher6,0.004187584656116793,-0.00167870844284664
"[107, 107, 107, 107, 107, 107]",0.1,32,0.2,tanh,400,Reacher6,0.005434638800514733,-0.3000174011445525
"[107, 107, 107, 107, 107, 107]",0.1,32,0.1,relu,400,Reacher6,0.004184183271088562,-0.0008417019332355169
"[107, 107, 107, 107, 107, 107]",0.1,32,0.1,tanh,400,Reacher6,0.005416474410395983,-0.29541941549482625
"[107, 107, 107, 107, 107, 107]",0.1,32,0.05,relu,400,Reacher6,0.0041826283433136395,-0.0004873714936054115
"[107, 107, 107, 107, 107, 107]",0.1,32,0.05,tanh,400,Reacher6,0.004607486207624269,-0.10264076261362325
"[107, 107, 107, 107, 107, 107]",0.1,64,0.8,relu,400,Reacher6,0.004182737574448773,-0.0005096968475014988
"[107, 107, 107, 107, 107, 107]",0.1,64,0.8,tanh,400,Reacher6,0.005037416579728429,-0.2063654176700546
"[107, 107, 107, 107, 107, 107]",0.1,64,0.5,relu,400,Reacher6,0.004180674244086062,-2.2207065844289293e-05
"[107, 107, 107, 107, 107, 107]",0.1,64,0.5,tanh,400,Reacher6,0.0048970353975734205,-0.17268208841456764
"[107, 107, 107, 107, 107, 107]",0.1,64,0.2,relu,400,Reacher6,0.0041864688078258995,-0.001391614971205472
"[107, 107, 107, 107, 107, 107]",0.1,64,0.2,tanh,400,Reacher6,0.0047663928384274095,-0.14094167448292114
"[107, 107, 107, 107, 107, 107]",0.1,64,0.1,relu,400,Reacher6,0.004181666354944384,-0.0002567484713096313
"[107, 107, 107, 107, 107, 107]",0.1,64,0.1,tanh,400,Reacher6,0.004889851953740958,-0.1705697384142251
"[107, 107, 107, 107, 107, 107]",0.1,64,0.05,relu,400,Reacher6,0.0038468526178046247,0.0814817351020974
"[107, 107, 107, 107, 107, 107]",0.1,64,0.05,tanh,400,Reacher6,0.004873478029164773,-0.16465952962245442
"[107, 107, 107, 107, 107, 107]",0.1,128,0.8,relu,400,Reacher6,0.003982143834221384,0.04874829098689759
"[107, 107, 107, 107, 107, 107]",0.1,128,0.8,tanh,400,Reacher6,0.004626938370471415,-0.10573742709333651
"[107, 107, 107, 107, 107, 107]",0.1,128,0.5,relu,400,Reacher6,0.004181483390045739,-0.00021191895234632754
"[107, 107, 107, 107, 107, 107]",0.1,128,0.5,tanh,400,Reacher6,0.004593083844720265,-0.0982229768222646
